January,February,March,April,May,June,July,August,September,October,November,December
115,365,1528,1582,1397,93,113,1272,0,138,778,88
93,92,670,155,301,978,177,1201,0,1198,399,95
133,155,1122,201,114,166,1061,949,132,131,813,1754
414,138,88,1407,301,81,941,110,1064,106,352,1292
0,0,0,0,0,0,0,0,0,0,0,0
99,0,419,109,1234,122,1547,1588,147,92,1651,0
0,282,212,807,1620,96,130,1679,572,287,1506,119
1723,127,848,1640,101,215,82,108,0,346,1489,175
568,528,107,128,105,172,1710,1592,303,98,83,0
102,1503,122,1452,443,1565,94,1353,390,0,358,574
508,124,121,1400,141,92,920,103,0,1504,728,412
87,116,138,107,123,118,1401,1770,1338,1664,801,1619
1389,1176,123,93,1596,1101,78,1794,422,0,1110,122
240,177,90,1213,1097,0,0,1657,922,401,1223,104
1271,103,1127,131,1487,1780,145,1326,1552,0,1179,111
1497,173,85,462,117,122,1719,91,222,630,1190,116
1275,90,1002,765,214,158,105,129,1426,207,154,115
364,126,435,720,485,318,577,654,456,174,223,134
1792,1489,173,92,109,461,103,268,127,982,1502,550
91,597,643,128,85,1287,0,565,125,138,1776,694
565,391,389,95,858,91,538,1007,0,161,91,1107
965,1232,0,127,168,76,0,1693,965,1259,155,436
925,0,1098,1360,70,103,87,1235,1022,589,1691,0
83,1790,554,99,77,89,1389,1136,121,113,1488,91
444,93,109,106,144,122,1544,1670,112,0,966,172
450,478,1398,107,492,810,99,1214,121,1475,1122,88
956,88,249,88,100,0,1159,1185,89,1401,125,160
109,176,0,0,550,110,666,113,608,610,1044,127
333,137,1593,473,0,1715,122,123,1028,717,101,1303
1035,166,281,0,98,115,129,108,870,0,382,92
152,108,85,249,121,75,1717,941,163,1750,200,1769
426,578,120,127,1798,1629,234,0,108,1504,215,1054
963,1148,127,1366,520,114,1724,95,125,135,1742,100
0,1031,369,1058,1403,937,94,1311,130,146,165,127
1759,205,968,118,1018,1382,0,0,0,99,1017,99
391,73,1507,89,142,256,115,1547,358,125,104,1184
1742,1470,1530,1244,1184,100,1504,1738,97,1488,0,87
1235,898,106,1084,97,1596,1157,395,100,114,963,131
1378,160,106,1290,1573,1084,96,111,0,1518,116,325
0,169,738,108,0,130,1148,1601,123,95,114,115
138,0,117,86,0,1141,95,177,0,292,1475,372
165,601,112,144,1165,1649,110,127,294,161,108,1750
1756,126,136,102,99,101,0,1768,431,1085,121,146
0,0,0,0,0,0,0,0,0,0,0,0
131,82,1116,110,0,329,0,1401,1065,137,86,362
135,168,1662,160,86,0,115,1685,291,454,451,0
1187,1228,932,860,87,967,0,1702,1318,760,658,173
1018,117,1738,1424,1796,96,1668,1377,91,926,1428,132
1252,84,983,250,112,133,88,86,88,1161,113,1760
169,128,1477,653,1234,1461,483,1406,989,130,1122,0
82,125,109,835,720,846,1055,121,117,282,1021,73
373,0,162,126,1560,323,139,100,85,128,0,99
516,137,118,90,113,1799,159,0,1742,117,88,317
0,414,99,0,202,811,179,105,82,115,0,84
383,97,110,127,1645,1142,0,94,457,919,99,505
1093,382,920,992,492,0,85,0,0,0,80,1463
124,139,1723,117,1596,1054,1156,835,96,807,313,1435
79,113,144,377,101,282,1720,247,97,1477,0,0
1101,1461,218,111,105,1540,1400,156,91,127,1664,0
886,1733,761,109,166,0,681,365,1771,684,143,0
645,724,1774,1208,1449,277,121,738,1644,512,111,496
1110,1338,250,443,131,107,904,101,1756,505,175,100
124,115,159,593,1617,848,116,123,0,107,164,702
1266,628,119,281,156,1043,953,0,103,430,568,121
105,618,1172,80,1719,619,1281,99,1614,0,1509,126
1589,118,599,226,0,576,1005,1197,86,1651,849,90
80,784,0,411,765,101,73,95,0,550,147,136
128,114,1403,95,110,718,131,176,1316,0,1289,243
1483,176,426,1058,1738,134,629,536,962,1229,1315,76
831,264,132,147,1087,94,1173,805,155,1478,94,1736
845,95,1766,1628,1386,77,1188,140,115,0,126,124
1355,1405,152,97,111,511,1504,105,151,1686,1074,303
504,1763,120,816,250,0,109,179,0,122,1231,893
0,0,88,167,96,0,1056,878,640,1314,747,437
360,125,168,1475,0,134,0,0,1272,118,987,113
103,167,1695,1338,495,108,88,1123,1627,105,97,583
469,161,0,0,110,476,943,131,952,0,0,812
115,125,0,979,1755,0,583,0,180,1250,1728,101
1545,656,149,781,913,99,1641,461,825,0,324,812
97,103,1531,1549,561,698,0,1456,1763,1385,109,1170
0,378,890,1679,1716,412,1634,400,127,493,1172,365
87,108,0,96,92,87,228,100,643,123,0,95
73,78,176,86,1078,121,146,0,895,793,1000,381
423,0,133,0,872,119,573,94,146,1036,481,1515
0,0,0,870,852,309,1706,832,1141,156,100,95
0,95,524,135,351,1001,244,92,88,642,594,0
154,538,707,702,713,1299,135,1613,0,887,1505,100
600,611,1063,109,356,598,897,335,94,812,1438,526
110,0,114,114,1144,518,109,1473,481,496,1507,1349
1665,104,877,114,1672,94,171,596,127,1106,1226,0
1715,119,104,109,0,176,129,0,101,143,97,1550
0,96,105,0,106,1762,124,116,774,177,84,81
749,0,110,0,100,0,1344,145,906,95,1382,111
99,1246,654,597,504,745,0,1137,517,0,1458,100
121,1395,0,530,1141,1647,1329,0,1745,84,89,0
1670,427,1529,1372,1728,0,1225,881,94,100,940,114
168,115,575,1093,1249,435,167,123,100,87,1271,119
98,1272,103,744,0,0,100,318,168,90,98,1254
1598,169,80,0,135,0,366,75,113,0,130,1338
440,626,173,124,0,1592,109,1684,120,156,601,90
0,1002,1689,130,642,1501,125,547,115,617,1611,293
798,1601,615,97,522,1473,1703,176,1562,1153,109,963
1503,97,135,202,130,1482,108,0,0,130,87,1262
145,1105,1520,127,1350,123,1137,89,162,247,256,109
0,158,113,171,93,1009,0,383,598,1325,347,115
1241,366,123,88,92,263,0,402,970,0,381,179
1415,129,767,1646,123,1743,1025,0,1287,559,128,119
95,135,0,237,473,1759,397,1483,149,91,621,1166
146,927,107,0,306,622,1284,153,1337,97,1728,1465
1317,1053,1482,173,112,160,171,1563,575,123,886,104
1677,124,979,0,1581,99,0,132,1771,98,126,0
214,0,0,168,428,102,737,1610,1695,135,1382,0
621,0,1082,265,107,126,123,151,146,309,0,1177
994,157,1787,0,89,150,169,0,126,126,527,162
1181,0,255,0,1610,0,1141,86,858,147,109,685
219,129,125,650,94,995,122,112,838,92,1403,104
1734,0,135,674,82,108,133,1423,678,113,614,111
991,110,1151,111,0,634,519,208,88,584,114,0
0,134,221,147,85,1016,0,645,837,0,0,232
101,1408,132,352,290,86,0,1573,1078,72,284,539
1312,125,1088,95,179,0,97,96,78,1383,771,0
840,143,109,172,89,1461,131,109,1419,739,1633,107
108,1033,159,99,1631,175,1332,605,1197,73,1549,173
105,163,0,1095,107,0,103,1687,119,119,105,1001
0,1650,112,472,112,658,106,1142,763,108,1471,553
368,1073,0,0,111,695,872,88,121,1724,112,0
510,765,1350,475,1523,0,1470,1399,1489,125,816,1535
1136,120,133,1654,1574,88,158,1559,101,95,0,740
0,179,0,120,1203,644,217,1077,0,690,1025,745
167,1158,1650,1644,94,515,0,1698,1529,173,0,87
0,0,0,1629,90,471,1130,705,107,101,1435,83
126,93,226,1245,0,365,1244,145,245,346,119,149
126,1658,226,100,0,0,916,101,0,1681,1547,372
1322,880,0,1505,1299,147,0,122,0,135,134,341
773,102,264,1107,107,104,930,1677,130,204,0,123
95,687,1729,1494,1576,130,1167,464,946,1075,133,121
835,0,1677,112,958,1237,1793,82,901,531,1419,0
0,485,76,168,607,721,499,159,89,130,156,76
134,122,739,430,845,1526,680,512,132,0,156,109
145,1676,0,695,1388,102,133,432,112,1434,1555,140
108,0,1230,0,177,1263,1164,795,673,99,715,0
100,604,1680,135,143,91,1577,1239,94,641,131,1547
251,652,114,0,122,0,1227,152,70,0,169,125
0,172,90,1267,898,112,88,0,766,1793,1000,130
1375,82,1700,111,1071,0,111,109,89,795,795,1717
70,1800,474,1261,1764,0,122,888,1725,861,1562,1431
1074,920,343,772,665,0,333,1448,557,353,1617,494
107,78,431,686,131,129,0,1610,144,95,1039,1601
695,96,556,529,217,308,137,0,1071,1454,0,1547
1305,0,116,1311,80,583,1604,132,112,155,1095,124
132,161,129,75,108,519,1182,126,380,113,89,937
805,569,0,1303,106,1333,1019,122,0,0,88,1199
106,163,114,0,114,1194,169,72,1205,95,92,172
126,131,344,407,109,0,99,713,294,1090,0,327
1565,1799,464,124,1441,1225,136,1680,732,106,673,119
811,138,127,77,96,372,1370,1714,340,372,142,743
100,640,115,94,116,112,203,85,540,0,0,95
968,0,1298,111,1581,1419,699,375,96,0,177,111
1543,0,108,107,1613,1213,135,161,126,144,649,103
1434,135,924,1547,1497,163,1759,139,0,83,527,125
436,1780,1187,143,290,457,721,104,0,87,109,0
951,73,1789,107,126,153,0,1391,1124,753,100,1275
1017,1082,136,101,112,1318,940,882,135,84,1130,0
132,508,0,1384,112,71,739,175,116,1474,168,1464
104,102,875,93,0,116,113,882,1028,93,94,393
1643,127,1736,855,255,129,108,133,130,1758,764,1246
1482,1499,178,95,0,134,84,114,0,158,1100,685
1263,123,1027,874,561,1412,954,1762,86,294,881,1483
521,89,0,127,92,176,163,769,126,744,1050,107
163,1066,0,0,773,1078,750,0,126,637,163,1374
1785,1453,1456,0,1181,965,620,421,0,1380,1692,122
85,1048,952,334,98,483,82,486,165,698,107,562
1012,643,170,783,120,1223,117,88,88,101,105,1086
0,0,0,0,0,0,0,0,0,0,0,0
159,123,118,100,130,818,277,131,142,0,89,225
632,79,106,944,104,0,87,166,114,1121,101,132
171,0,0,127,414,577,546,1251,151,215,100,152
917,0,0,174,955,95,101,88,113,0,373,651
145,126,930,134,1567,93,371,0,534,0,1638,149
1447,1542,617,175,129,603,1791,1647,1650,70,0,249
1760,1796,178,92,257,496,161,97,91,1249,91,0
113,1519,1597,793,175,95,0,128,1136,1350,1101,1059
589,1342,1233,0,1623,753,0,116,99,1738,132,398
220,1216,846,1185,0,1603,615,712,1771,680,83,133
0,127,101,1234,177,516,146,1255,1660,1712,249,106
1769,728,87,568,111,86,90,128,87,94,1306,709
108,1694,0,860,119,412,1447,458,1265,357,126,172
1156,831,209,140,0,785,357,133,0,1194,0,1704
127,114,1217,907,125,996,855,89,920,1502,1713,256
118,332,227,799,421,1261,130,127,121,132,418,237
839,1616,160,126,207,1433,0,998,1769,584,108,307
818,373,1644,1359,102,1597,74,96,0,126,122,120
125,686,218,1614,0,1344,118,1213,140,964,599,1306
105,302,0,1509,130,89,905,94,1558,604,78,120
301,0,137,164,89,0,105,1713,1269,161,837,738
570,1324,1180,1560,1415,70,81,394,130,0,1556,704
99,372,215,0,0,90,383,0,124,1272,217,0
133,89,135,127,1195,324,98,70,172,141,131,89
754,830,790,915,129,0,164,1770,123,1636,129,0
0,290,1181,615,121,89,1560,1577,1545,1198,93,104
1307,132,0,1169,1280,734,1153,122,106,1576,1473,104
1416,92,73,124,1473,166,103,128,74,1676,133,1159
1345,105,711,999,162,874,1535,0,138,107,127,93
101,101,92,1368,144,171,584,726,246,271,319,1077
85,117,1672,177,71,107,90,1277,1429,0,140,83
0,86,599,89,130,1418,122,0,1466,1534,829,110
232,0,270,90,97,526,850,111,82,789,1511,774
1290,216,1659,1346,116,163,137,1270,644,131,348,97
118,76,533,126,95,124,100,135,860,612,954,740
1360,175,102,211,489,314,122,104,113,157,0,119
1325,162,407,85,1797,1250,137,144,170,966,97,132
127,807,0,76,139,1341,88,874,917,315,1337,0
930,0,113,1176,1348,254,121,476,137,0,1030,1747
82,72,108,536,1443,1750,342,0,88,0,983,150
603,0,1211,794,135,101,1469,921,808,280,518,125
111,125,105,108,286,1487,91,1208,1278,109,127,0
94,640,124,0,796,94,1415,135,96,129,1591,180
1505,1465,129,140,250,136,149,1619,1336,104,0,1478
1380,0,102,87,1564,966,101,755,124,86,106,1239
1183,0,395,134,1696,1183,130,157,146,123,776,163
131,1499,671,173,82,107,114,1481,128,1191,0,0
112,739,73,542,474,70,1487,1754,1455,116,1127,0
79,111,135,1573,463,108,1312,166,875,1512,111,85
0,772,152,1319,0,1024,79,155,102,0,257,128
238,689,135,1626,667,1753,1187,1799,122,108,85,160
915,1109,121,1374,485,127,1705,1555,309,268,937,673
380,85,699,597,1062,271,85,499,139,116,557,83
1686,95,98,105,736,644,609,897,94,1033,1187,130
229,108,102,71,0,162,92,1502,0,1182,101,0
0,129,0,119,1690,1013,0,175,96,0,89,0
653,119,1328,1555,491,73,267,102,116,1783,733,0
105,1297,773,1431,0,1637,424,110,1172,1754,143,611
440,159,266,1559,1017,826,0,284,113,1521,408,1735
1799,449,0,374,94,270,1038,106,1512,1272,1455,1263
1672,148,1576,1594,1699,121,85,0,629,1570,107,118
177,153,504,1746,79,402,125,149,1196,117,117,172
78,121,1711,661,280,103,450,135,1158,283,100,0
76,88,0,0,1693,85,98,0,534,1541,1276,1216
1043,172,918,303,394,1281,882,1444,0,1524,1370,1014
1490,170,1493,1431,0,81,320,152,152,519,1575,1536
104,1008,126,1398,165,1300,439,1462,1115,87,0,720
673,255,389,781,0,139,785,106,1225,150,841,594
0,0,82,92,108,180,0,94,180,649,95,376
172,0,114,250,1214,234,331,1440,97,1342,215,77
132,1665,535,801,615,795,1097,0,727,162,1454,117
0,135,96,91,0,635,87,1301,89,81,1562,0
1563,948,1750,0,1703,0,479,0,106,1364,99,1455
0,96,94,123,1602,0,1140,0,133,86,122,113
1004,88,1670,925,109,128,669,988,175,110,735,1474
83,160,889,0,105,127,129,0,817,129,157,550
164,895,143,380,988,1503,1513,1417,722,115,129,1432
70,96,100,85,0,86,167,107,0,1772,91,1268
379,1072,428,673,87,0,1122,94,546,114,1576,124
541,92,162,1027,1797,122,78,782,85,0,858,1276
0,0,0,0,0,0,0,0,0,0,0,0
91,1768,1127,92,1112,665,418,328,754,110,0,932
89,1262,1688,520,297,133,103,75,98,986,106,146
86,72,614,1664,932,108,812,115,868,163,122,1451
982,850,580,0,99,93,103,0,125,0,268,117
790,817,1717,97,130,93,86,773,93,1604,649,86
96,0,85,118,94,0,947,1058,150,918,71,1502
1058,767,488,127,994,595,0,768,1591,135,1622,599
1402,1072,0,906,328,124,167,121,160,180,1174,1598
96,748,1481,1517,792,163,105,103,221,904,0,0
107,144,1373,1508,88,115,649,1599,702,0,1390,1030
783,0,85,0,398,279,94,1581,874,478,78,83
175,100,0,1374,502,113,1133,375,1251,477,163,593
105,114,0,512,101,135,102,1484,1664,110,849,100
116,173,463,133,583,135,1442,162,332,98,0,1799
356,0,0,572,207,123,625,745,0,164,642,749
99,0,0,0,204,0,99,177,158,0,1360,1382
87,162,882,122,109,173,1511,99,0,114,101,639
983,1440,0,261,862,901,1314,96,96,78,1757,486
483,233,1782,121,724,129,1714,88,88,591,123,0
0,115,1706,1223,1512,752,1185,116,129,90,0,143
578,1790,591,611,1389,133,175,894,150,988,0,987
166,132,794,85,129,467,122,126,70,771,201,152
1282,146,0,0,1057,1359,78,538,564,637,103,624
1377,111,92,818,100,115,1496,107,99,1024,1629,1131
0,0,125,104,0,1081,0,1454,888,114,109,112
1214,0,134,153,129,660,384,470,262,91,0,90
78,1130,94,104,0,0,879,261,107,110,172,177
0,1549,1158,797,1421,1452,173,169,834,579,174,124
432,118,1523,455,988,102,1378,1359,126,1045,549,144
127,1103,599,121,105,109,136,150,699,704,1755,1385
935,928,398,252,0,120,89,1178,130,872,374,0
117,604,823,0,1131,99,934,625,0,579,865,894
122,377,855,876,1380,539,580,173,1779,317,134,1381
113,221,134,0,175,478,905,1138,1354,117,1141,113
97,1272,168,447,79,245,469,783,417,739,685,526
128,0,600,1335,116,166,1770,0,0,81,1589,815
1304,0,177,974,774,1312,1660,156,70,473,0,799
0,493,144,1430,1323,1684,690,175,131,705,164,122
82,169,776,1360,168,1480,160,88,389,127,237,1184
117,139,1524,1670,128,85,135,96,123,1292,928,723
1161,115,90,0,249,596,249,514,652,1651,1021,105
735,1696,1763,995,92,1269,153,708,134,160,104,102
702,179,1067,1385,437,87,136,382,0,148,0,717
139,505,88,170,103,264,0,100,115,101,1725,87
178,1120,1029,731,819,122,129,0,401,1154,0,826
1268,874,119,1526,1283,125,0,105,1571,78,1746,819
464,779,821,804,1276,1340,829,87,95,376,103,91
496,102,664,1040,90,1231,125,165,526,98,0,144
1549,724,96,1387,95,1261,0,212,870,70,0,381
1422,847,727,127,624,791,129,248,108,110,1317,0
1075,0,1613,85,1255,419,97,0,744,841,1799,101
134,116,844,1281,72,1066,117,995,101,815,534,0
1051,758,890,121,924,179,1078,1149,131,100,1541,1573
1515,0,1081,1796,75,167,122,89,1618,0,1580,79
